danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.406,0.0998,5,-17.966,0.0548,0.992,0.896,0.0911,0.216,142.217,piano
0.198,0.182,4,-20.989,0.0427,0.993,0.897,0.0963,0.326,168.318,piano
0.375,0.106,4,-16.516,0.0502,0.993,0.923,0.0804,0.165,155.613,piano
0.399,0.133,3,-18.402,0.0492,0.993,0.917,0.129,0.299,72.123,piano
0.401,0.0785,0,-17.688,0.0588,0.991,0.93,0.0846,0.19,136.903,piano
0.314,0.229,9,-16.564,0.036,0.993,0.83,0.0655,0.196,87.947,piano
0.381,0.0926,9,-18.762,0.0632,0.989,0.897,0.0877,0.125,129.904,piano
0.257,0.117,11,-19.492,0.0471,0.987,0.901,0.0957,0.121,60.246,piano
0.145,0.328,2,-16.306,0.0415,0.977,0.834,0.137,0.291,169.69,piano
0.308,0.201,11,-17.627,0.0468,0.973,0.917,0.106,0.12,77.319,piano
0.398,0.072,9,-18.912,0.0443,0.991,0.916,0.141,0.413,104.686,piano
0.519,0.0516,1,-17.723,0.0431,0.991,0.922,0.13,0.106,113.008,piano
0.471,0.0147,3,-19.862,0.0609,0.989,0.889,0.0979,0.515,128.987,piano
0.354,0.266,10,-16.816,0.0367,0.989,0.937,0.161,0.226,80.896,piano
0.198,0.25,4,-17.056,0.0394,0.98,0.888,0.111,0.189,173.869,piano
0.333,0.114,1,-17.521,0.0387,0.975,0.887,0.107,0.139,61.2,piano
0.341,0.167,4,-17.974,0.036,0.98,0.917,0.0973,0.0715,88.634,piano
0.442,0.126,5,-18.208,0.0412,0.984,0.931,0.0944,0.078,124.735,piano
0.424,0.0408,4,-18.581,0.0523,0.984,0.898,0.115,0.265,132.957,piano
0.543,0.051,11,-17.877,0.0759,0.988,0.92,0.0992,0.179,63.292,piano
0.378,0.261,0,-16.643,0.039,0.947,0.936,0.0876,0.137,141.12,piano
0.251,0.118,8,-18.969,0.0414,0.981,0.884,0.132,0.199,92.209,piano
0.389,0.172,3,-15.513,0.0391,0.987,0.82,0.102,0.292,82.416,piano
0.624,0.071,4,-18.381,0.0405,0.988,0.837,0.111,0.223,141.719,piano
0.123,0.103,11,-17.91,0.0402,0.966,0.598,0.106,0.0831,93.592,piano
0.326,0.0635,1,-19.506,0.0478,0.994,0.931,0.0886,0.22,76.825,piano
0.442,0.341,5,-11.109,0.0328,0.985,0.584,0.117,0.118,105.045,piano
0.226,0.183,7,-16.205,0.0423,0.975,0.807,0.127,0.207,84.719,piano
0.294,0.139,4,-18.174,0.0365,0.982,0.866,0.12,0.111,140.295,piano
0.301,0.263,2,-13.932,0.0364,0.946,0.0832,0.206,0.189,46.535,piano
0.225,0.133,4,-17.643,0.0398,0.958,0.883,0.0986,0.147,72.287,piano
0.335,0.224,2,-14.953,0.0309,0.981,0.898,0.111,0.461,79.361,piano
0.35,0.205,5,-17.011,0.0348,0.955,0.899,0.107,0.178,76.997,piano
