"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","notes"
61860,"201410290TOR","NBA",0,2015,"10/29/2014",1,0,"TOR","Raptors",109,1550.7469,1554.9813,46.26199,"ATL","Hawks",102,1490.1147,1485.8804,"H","W",0.71599334,"NULL"
61860,"201410290TOR","NBA",1,2015,"10/29/2014",1,0,"ATL","Hawks",102,1490.1147,1485.8804,39.044273,"TOR","Raptors",109,1550.7469,1554.9813,"A","L",0.28400666,"NULL"
61861,"201410290UTA","NBA",0,2015,"10/29/2014",1,0,"UTA","Jazz",93,1373.317,1367.0422,27.144075,"HOU","Rockets",104,1607.8038,1614.0786,"H","L",0.3155781,"NULL"
61861,"201410290UTA","NBA",1,2015,"10/29/2014",2,0,"HOU","Rockets",104,1607.8038,1614.0786,52.198559,"UTA","Jazz",93,1373.317,1367.0422,"A","W",0.6844219,"NULL"
61862,"201410300CLE","NBA",0,2015,"10/30/2014",1,0,"CLE","Cavaliers",90,1463.7213,1455.226,35.854546,"NYK","Knicks",95,1509.5001,1517.9955,"H","L",0.57740319,"NULL"
61862,"201410300CLE","NBA",1,2015,"10/30/2014",2,0,"NYK","Knicks",95,1509.5001,1517.9955,42.410961,"CLE","Cavaliers",90,1463.7213,1455.226,"A","W",0.42259681,"NULL"
61863,"201410300DAL","NBA",1,2015,"10/30/2014",2,0,"UTA","Jazz",102,1367.0422,1363.7863,26.8424,"DAL","Mavericks",120,1590.3984,1593.6544,"A","L",0.13454133,"NULL"
61863,"201410300DAL","NBA",0,2015,"10/30/2014",2,0,"DAL","Mavericks",120,1590.3984,1593.6544,50.189129,"UTA","Jazz",102,1367.0422,1363.7863,"H","W",0.86545867,"NULL"
61864,"201410300LAC","NBA",1,2015,"10/30/2014",2,0,"OKC","Thunder",90,1607.6138,1604.2545,51.238544,"LAC","Clippers",93,1630.6335,1633.9928,"A","L",0.33000582,"NULL"
61864,"201410300LAC","NBA",0,2015,"10/30/2014",1,0,"LAC","Clippers",93,1630.6335,1633.9928,54.10347,"OKC","Thunder",90,1607.6138,1604.2545,"H","W",0.66999418,"NULL"
61865,"201410300MIN","NBA",1,2015,"10/30/2014",2,0,"DET","Pistons",91,1384.6356,1381.8267,28.534891,"MIN","Timberwolves",97,1510.2198,1513.0288,"A","L",0.21440625,"NULL"
61865,"201410300MIN","NBA",0,2015,"10/30/2014",2,0,"MIN","Timberwolves",97,1510.2198,1513.0288,41.890396,"DET","Pistons",91,1384.6356,1381.8267,"H","W",0.78559375,"NULL"
61866,"201410300ORL","NBA",1,2015,"10/30/2014",2,0,"WAS","Wizards",105,1534.9141,1540.9893,44.812416,"ORL","Magic",98,1353.291,1347.2158,"A","W",0.6153506,"NULL"
61866,"201410300ORL","NBA",0,2015,"10/30/2014",2,0,"ORL","Magic",98,1353.291,1347.2158,25.334467,"WAS","Wizards",105,1534.9141,1540.9893,"H","L",0.38464937,"NULL"
